state_county_code,county_name,state_name,state_fips
1001,"Autauga County","Alabama",1
1003,"Baldwin County","Alabama",1
1005,"Barbour County","Alabama",1
1007,"Bibb County","Alabama",1
1009,"Blount County","Alabama",1
1011,"Bullock County","Alabama",1
1013,"Butler County","Alabama",1
1015,"Calhoun County","Alabama",1
1017,"Chambers County","Alabama",1
1019,"Cherokee County","Alabama",1
1021,"Chilton County","Alabama",1
1023,"Choctaw County","Alabama",1
1025,"Clarke County","Alabama",1
1027,"Clay County","Alabama",1
1029,"Cleburne County","Alabama",1
1031,"Coffee County","Alabama",1
1033,"Colbert County","Alabama",1
1035,"Conecuh County","Alabama",1
1037,"Coosa County","Alabama",1
1039,"Covington County","Alabama",1
1041,"Crenshaw County","Alabama",1
1043,"Cullman County","Alabama",1
1045,"Dale County","Alabama",1
1047,"Dallas County","Alabama",1
1049,"DeKalb County","Alabama",1
1051,"Elmore County","Alabama",1
1053,"Escambia County","Alabama",1
1055,"Etowah County","Alabama",1
1057,"Fayette County","Alabama",1
1059,"Franklin County","Alabama",1
1061,"Geneva County","Alabama",1
1063,"Greene County","Alabama",1
1065,"Hale County","Alabama",1
1067,"Henry County","Alabama",1
1069,"Houston County","Alabama",1
1071,"Jackson County","Alabama",1
1073,"Jefferson County","Alabama",1
1075,"Lamar County","Alabama",1
1077,"Lauderdale County","Alabama",1
1079,"Lawrence County","Alabama",1
1081,"Lee County","Alabama",1
1083,"Limestone County","Alabama",1
1085,"Lowndes County","Alabama",1
1087,"Macon County","Alabama",1
1089,"Madison County","Alabama",1
1091,"Marengo County","Alabama",1
1093,"Marion County","Alabama",1
1095,"Marshall County","Alabama",1
1097,"Mobile County","Alabama",1
1099,"Monroe County","Alabama",1
1101,"Montgomery County","Alabama",1
1103,"Morgan County","Alabama",1
1105,"Perry County","Alabama",1
1107,"Pickens County","Alabama",1
1109,"Pike County","Alabama",1
1111,"Randolph County","Alabama",1
1113,"Russell County","Alabama",1
1115,"St. Clair County","Alabama",1
1117,"Shelby County","Alabama",1
1119,"Sumter County","Alabama",1
1121,"Talladega County","Alabama",1
1123,"Tallapoosa County","Alabama",1
1125,"Tuscaloosa County","Alabama",1
1127,"Walker County","Alabama",1
1129,"Washington County","Alabama",1
1131,"Wilcox County","Alabama",1
1133,"Winston County","Alabama",1
2013,"Aleutians East Borough","Alaska",2
2016,"Aleutians West Census Area","Alaska",2
2020,"Anchorage Municipality","Alaska",2
2050,"Bethel Census Area","Alaska",2
2060,"Bristol Bay Borough","Alaska",2
2068,"Denali Borough","Alaska",2
2070,"Dillingham Census Area","Alaska",2
2090,"Fairbanks North Star Borough","Alaska",2
2100,"Haines Borough","Alaska",2
